 	X	Y
899	309	707
900	582	696
901	104	615
902	540	588
903	447	582
904	380	567
905	455	538
906	505	491
907	555	490
908	399	434
909	449	382
910	341	352
911	267	904
912	328	883
913	345	869
914	498	830
915	338	805
916	396	784
917	279	752
918	328	737
919	292	715
920	390	708
921	581	670
922	406	626
923	516	592
924	440	560
925	427	535
926	445	520
927	1109	519
928	343	519
929	443	497
930	467	461
931	427	461
932	482	456
933	1144	418
934	544	403
935	674	367
936	497	365
937	526	352
938	493	343
939	535	295
940	533	248
941	273	1075
942	498	970
943	407	743
944	386	658
945	276	654
946	346	590
947	567	586
948	321	548
949	302	540
950	581	538
951	580	510
952	189	504
953	589	374
954	499	145
955	596	139
956	707	97
957	210	1074
958	300	1036
959	419	987
960	454	969
961	378	970
962	213	916
963	277	826
964	224	789
965	715	680
966	290	605
967	320	530
968	339	467
969	514	463
970	309	365
971	318	359
972	324	285
973	648	264
974	733	180
975	635	151
976	380	749
977	364	704
978	556	691
979	489	689
980	177	673
981	452	666
982	305	617
983	406	568
984	304	567
985	429	477
986	410	441
987	411	373
988	447	302
989	431	299
990	339	276
991	603	187
992	617	170
993	686	152
994	382	1028
995	330	954
996	251	824
997	620	630
998	418	605
999	506	547
1000	579	495
1001	205	471
1002	411	404
1003	364	349
1004	587	280
1005	358	684
1006	410	305
1007	486	163
1008	452	1247
1009	769	1166
1010	329	1135
1011	287	583
1012	148	577
1013	420	557
1014	328	438
1015	365	291
1016	327	971
1017	313	879
1018	220	643
1019	226	446
1020	417	348
1021	375	681
1022	156	443
1023	969	171
1024	313	983
1025	260	916
1026	167	691
1027	817	1340
1028	443	1180
1029	506	232
1030	715	25
1031	538	1356
1032	1028	1151
1033	275	196
1034	1075	1113
1035	39	643
1036	388	195
1037	74	600
1038	207	426
1039	673	216
1040	801	149
1041	378	1199
1042	487	1184
1043	217	1007
1044	299	397
1045	147	830
1046	160	870
