 	X	Y
958	278	652
959	104	612
960	289	603
961	322	545
962	583	536
963	557	488
964	469	459
965	485	455
966	737	179
967	599	137
968	765	1165
969	418	984
970	278	824
971	557	689
972	715	680
973	581	668
974	306	613
975	418	602
976	516	589
977	423	556
978	508	545
979	321	527
980	1111	522
981	344	516
982	191	501
983	615	495
984	516	461
985	1146	422
986	413	403
987	366	346
988	433	297
989	327	282
990	620	170
991	710	96
992	208	1072
993	377	967
994	496	828
995	406	740
996	364	702
997	488	687
998	451	663
999	221	640
1000	428	532
1001	341	464
1002	320	356
1003	413	302
1004	450	300
1005	340	274
1006	298	1033
1007	329	951
1008	224	786
1009	178	669
1010	620	630
1011	581	495
1012	414	372
1013	311	362
1014	651	263
1015	325	970
1016	453	966
1017	250	820
1018	358	681
1019	149	574
1020	305	564
1021	408	563
1022	227	442
1023	412	439
1024	331	435
1025	418	345
1026	368	289
1027	607	188
1028	690	151
1029	327	1132
1030	212	912
1031	312	876
1032	288	580
1033	207	467
1034	590	280
1035	489	163
1036	376	678
1037	157	441
1038	449	1245
1039	971	173
1040	169	689
1041	310	980
1042	258	912
1043	817	1340
1044	441	1178
1045	508	230
1046	715	25
1047	1371	778
1048	1274	336
1049	1379	634
1050	1138	1225
1051	1115	1195
1052	1274	1010
1053	1057	1282
1054	1224	285
1055	539	1356
1056	913	1342
1057	425	205
1058	689	1364
1059	579	1356
1060	1201	977
1061	444	691
1062	737	1373
1063	1254	828
1064	1293	723
1065	793	49
1066	1247	899
1067	792	735
1068	1081	1044
1069	1169	985
1070	1143	345
1071	274	196
1072	912	72
1073	872	52
1074	1070	1084
1075	1221	881
1076	787	691
1077	1264	678
1078	991	1207
1079	1045	1177
1080	297	1178
1081	1262	767
1082	950	1236
1083	1074	1117
1084	1058	1054
1085	37	645
1086	1184	505
1087	976	208
1088	841	153
1089	741	1258
1090	767	1257
1091	223	1112
1092	76	601
1093	384	193
1094	417	1218
1095	159	1012
1096	209	426
1097	746	145
1098	772	1228
1099	689	1182
1100	384	1137
1101	77	647
1102	677	212
1103	806	148
1104	373	1193
1105	334	1075
1106	230	394
1107	482	1182
1108	385	236
1109	348	230
1110	199	946
1111	171	919
1112	149	828
1113	300	398
1114	220	1000
1115	250	987
1116	255	367
1117	314	317
1118	184	877
1119	234	564
1120	159	864
